index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID
83,Class1,2024/1/2 16:07,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_5Q4KoXthUuYz3bvrTDFm,192,2,e89cdaa3f159a0d3f55e
84,Class1,2024/1/2 16:06,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_BXr9AIsPQhwNvyGdZL57,344,2,e89cdaa3f159a0d3f55e
85,Class1,2024/1/2 16:06,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_m8vwGkEZc3TSW2xqYUoR,196,2,e89cdaa3f159a0d3f55e
86,Class1,2024/1/2 16:06,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_m8vwGkEZc3TSW2xqYUoR,192,2,e89cdaa3f159a0d3f55e
87,Class1,2024/1/2 15:44,Absolutely_Error,0,Question_hZ5wXofebmTlzKB1jNcP,Method_Cj9Ya2R7fZd6xs1q5mNQ,492,3,e89cdaa3f159a0d3f55e
88,Class1,2024/1/2 15:44,Absolutely_Error,0,Question_hZ5wXofebmTlzKB1jNcP,Method_BXr9AIsPQhwNvyGdZL57,192,2,e89cdaa3f159a0d3f55e
89,Class1,2024/1/2 15:43,Absolutely_Error,0,Question_hZ5wXofebmTlzKB1jNcP,Method_Cj9Ya2R7fZd6xs1q5mNQ,180,2,e89cdaa3f159a0d3f55e
90,Class1,2024/1/2 15:32,Absolutely_Error,0,Question_hZ5wXofebmTlzKB1jNcP,Method_gj1NLb4Jn7URf9K2kQPd,312,2,e89cdaa3f159a0d3f55e
91,Class1,2024/1/2 15:31,Error6,0,Question_hZ5wXofebmTlzKB1jNcP,Method_5Q4KoXthUuYz3bvrTDFm,320,3,e89cdaa3f159a0d3f55e
92,Class1,2024/1/2 15:27,Error6,0,Question_hZ5wXofebmTlzKB1jNcP,Method_Cj9Ya2R7fZd6xs1q5mNQ,312,2,e89cdaa3f159a0d3f55e
93,Class1,2024/1/2 15:26,Error6,0,Question_hZ5wXofebmTlzKB1jNcP,Method_gj1NLb4Jn7URf9K2kQPd,448,3,e89cdaa3f159a0d3f55e
94,Class1,2024/1/2 15:26,Error6,0,Question_hZ5wXofebmTlzKB1jNcP,Method_gj1NLb4Jn7URf9K2kQPd,324,3,e89cdaa3f159a0d3f55e
95,Class1,2024/1/2 15:25,Error6,0,Question_hZ5wXofebmTlzKB1jNcP,Method_5Q4KoXthUuYz3bvrTDFm,464,2,e89cdaa3f159a0d3f55e
96,Class1,2024/1/2 15:23,Error6,0,Question_hZ5wXofebmTlzKB1jNcP,Method_Cj9Ya2R7fZd6xs1q5mNQ,312,2,e89cdaa3f159a0d3f55e
150,Class1,2024/11/19 1:28,Partially_Correct,1,Question_QRm48lXxzdP7Tn1WgNOf,Method_gj1NLb4Jn7URf9K2kQPd,184,2,e89cdaa3f159a0d3f55e
151,Class1,2024/11/19 1:27,Partially_Correct,1,Question_QRm48lXxzdP7Tn1WgNOf,Method_gj1NLb4Jn7URf9K2kQPd,312,3,e89cdaa3f159a0d3f55e
152,Class1,2024/11/19 1:25,Partially_Correct,1,Question_QRm48lXxzdP7Tn1WgNOf,Method_5Q4KoXthUuYz3bvrTDFm,192,3,e89cdaa3f159a0d3f55e
153,Class1,2024/11/19 1:24,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,2,e89cdaa3f159a0d3f55e
154,Class1,2024/11/19 1:24,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_m8vwGkEZc3TSW2xqYUoR,0,3,e89cdaa3f159a0d3f55e
155,Class1,2024/11/19 1:24,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_gj1NLb4Jn7URf9K2kQPd,0,1,e89cdaa3f159a0d3f55e
156,Class1,2024/11/19 1:16,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,4,e89cdaa3f159a0d3f55e
157,Class1,2024/11/19 1:14,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_5Q4KoXthUuYz3bvrTDFm,0,5,e89cdaa3f159a0d3f55e
