index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID
0,Class1,2024/1/2 23:37,Absolutely_Correct,3,Question_bumGRTJ0c8p4v5D6eHZa,Method_Cj9Ya2R7fZd6xs1q5mNQ,320,3,8b6d1125760bd3939b6e
1,Class1,2024/1/2 23:37,Absolutely_Correct,3,Question_62XbhBvJ8NUSnApgDL94,Method_gj1NLb4Jn7URf9K2kQPd,356,3,8b6d1125760bd3939b6e
2,Class1,2024/1/2 23:37,Absolutely_Correct,3,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_5Q4KoXthUuYz3bvrTDFm,196,2,8b6d1125760bd3939b6e
3,Class1,2024/1/2 23:22,Absolutely_Correct,3,Question_xqlJkmRaP0otZcX4fK3W,Method_m8vwGkEZc3TSW2xqYUoR,308,2,63eef37311aaac915a45
4,Class1,2024/1/2 23:12,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,320,3,5d89810b20079366fcc2
5,Class1,2024/1/2 23:12,Error1,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_gj1NLb4Jn7URf9K2kQPd,0,5,5d89810b20079366fcc2
6,Class1,2024/1/2 23:11,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_m8vwGkEZc3TSW2xqYUoR,308,2,5d89810b20079366fcc2
7,Class1,2024/1/2 23:11,Absolutely_Correct,3,Question_X3wF8QlTyi4mZkDp9Kae,Method_5Q4KoXthUuYz3bvrTDFm,312,2,47eeab842793b09300c3
8,Class1,2024/1/2 23:11,Absolutely_Correct,3,Question_X3wF8QlTyi4mZkDp9Kae,Method_5Q4KoXthUuYz3bvrTDFm,312,3,47eeab842793b09300c3
9,Class1,2024/1/2 23:10,Absolutely_Correct,3,Question_oCjnFLbIs4Uxwek9rBpu,Method_5Q4KoXthUuYz3bvrTDFm,328,2,5d89810b20079366fcc2
10,Class1,2024/1/2 23:10,Absolutely_Correct,3,Question_EhVPdmlB31M8WKGqL0wc,Method_m8vwGkEZc3TSW2xqYUoR,512,3,5d89810b20079366fcc2
11,Class1,2024/1/2 23:09,Absolutely_Correct,3,Question_UXqN1F7G3Sbldz02vZne,Method_Cj9Ya2R7fZd6xs1q5mNQ,324,2,5d89810b20079366fcc2
12,Class1,2024/1/2 23:09,Absolutely_Correct,3,Question_x2Fy7rZ3SwYl9jMQkpOD,Method_m8vwGkEZc3TSW2xqYUoR,312,2,5d89810b20079366fcc2
13,Class1,2024/1/2 23:08,Absolutely_Correct,1,Question_BW0ItEaymH3TkD6S15JF,Method_gj1NLb4Jn7URf9K2kQPd,308,3,5d89810b20079366fcc2
14,Class1,2024/1/2 23:08,Absolutely_Correct,3,Question_h7pXNg80nJbw1C4kAPRm,Method_5Q4KoXthUuYz3bvrTDFm,324,3,5d89810b20079366fcc2
15,Class1,2024/1/2 23:08,Absolutely_Correct,1,Question_rvB9mVE6Kbd8jAY4NwPx,Method_Cj9Ya2R7fZd6xs1q5mNQ,308,3,5d89810b20079366fcc2
16,Class1,2024/1/2 23:07,Absolutely_Correct,1,Question_q7OpB2zCMmW9wS8uNt3H,Method_BXr9AIsPQhwNvyGdZL57,188,2,5d89810b20079366fcc2
17,Class1,2024/1/2 22:51,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_m8vwGkEZc3TSW2xqYUoR,328,3,8b6d1125760bd3939b6e
18,Class1,2024/1/2 22:50,Error1,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,3,8b6d1125760bd3939b6e
19,Class1,2024/1/2 22:50,Error1,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,5,8b6d1125760bd3939b6e
20,Class1,2024/1/2 22:49,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_Cj9Ya2R7fZd6xs1q5mNQ,324,2,8b6d1125760bd3939b6e
21,Class1,2024/1/2 22:49,Absolutely_Error,0,Question_bumGRTJ0c8p4v5D6eHZa,Method_gj1NLb4Jn7URf9K2kQPd,316,2,8b6d1125760bd3939b6e
22,Class1,2024/1/2 22:48,Absolutely_Error,0,Question_bumGRTJ0c8p4v5D6eHZa,Method_m8vwGkEZc3TSW2xqYUoR,320,2,8b6d1125760bd3939b6e
23,Class1,2024/1/2 22:48,Absolutely_Correct,3,Question_xqlJkmRaP0otZcX4fK3W,Method_Cj9Ya2R7fZd6xs1q5mNQ,308,3,8b6d1125760bd3939b6e
24,Class1,2024/1/2 22:47,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_5Q4KoXthUuYz3bvrTDFm,344,3,8b6d1125760bd3939b6e
25,Class1,2024/1/2 22:46,Absolutely_Correct,3,Question_X3wF8QlTyi4mZkDp9Kae,Method_5Q4KoXthUuYz3bvrTDFm,444,4,8b6d1125760bd3939b6e
26,Class1,2024/1/2 22:46,Absolutely_Correct,3,Question_5fgqjSBwTPG7KUV3it6O,Method_gj1NLb4Jn7URf9K2kQPd,308,3,8b6d1125760bd3939b6e
27,Class1,2024/1/2 22:45,Absolutely_Correct,3,Question_oCjnFLbIs4Uxwek9rBpu,Method_Cj9Ya2R7fZd6xs1q5mNQ,192,3,8b6d1125760bd3939b6e
28,Class1,2024/1/2 22:44,Absolutely_Correct,3,Question_EhVPdmlB31M8WKGqL0wc,Method_gj1NLb4Jn7URf9K2kQPd,196,2,8b6d1125760bd3939b6e
29,Class1,2024/1/2 22:44,Absolutely_Correct,3,Question_Az73sM0rHfWVKuc4X2kL,Method_5Q4KoXthUuYz3bvrTDFm,312,3,8b6d1125760bd3939b6e
