index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID,major,knowledge
0,Class2,2024/1/2 23:55,Partially_Correct,2,Question_5fgqjSBwTPG7KUV3it6O,Method_Cj9Ya2R7fZd6xs1q5mNQ,308,3,6ae7d356ba998218af82,J40192,g7R2j
1,Class2,2024/1/2 23:54,Absolutely_Error,0,Question_5fgqjSBwTPG7KUV3it6O,Method_m8vwGkEZc3TSW2xqYUoR,328,3,6ae7d356ba998218af82,J40192,g7R2j
2,Class2,2024/1/2 23:54,Absolutely_Correct,3,Question_oCjnFLbIs4Uxwek9rBpu,Method_m8vwGkEZc3TSW2xqYUoR,312,2,6ae7d356ba998218af82,J40192,g7R2j
2,Class2,2024/1/2 23:54,Absolutely_Correct,3,Question_oCjnFLbIs4Uxwek9rBpu,Method_m8vwGkEZc3TSW2xqYUoR,312,2,6ae7d356ba998218af82,J40192,m3D1v
3,Class2,2024/1/2 23:49,Error1,0,Question_5fgqjSBwTPG7KUV3it6O,Method_5Q4KoXthUuYz3bvrTDFm,0,2,6ae7d356ba998218af82,J40192,g7R2j
4,Class2,2024/1/2 23:45,Partially_Correct,2,Question_5fgqjSBwTPG7KUV3it6O,Method_gj1NLb4Jn7URf9K2kQPd,324,2,6ae7d356ba998218af82,J40192,g7R2j
5,Class2,2024/1/2 23:42,Absolutely_Error,0,Question_5fgqjSBwTPG7KUV3it6O,Method_BXr9AIsPQhwNvyGdZL57,328,3,6ae7d356ba998218af82,J40192,g7R2j
6,Class2,2024/1/2 23:35,Absolutely_Error,0,Question_5fgqjSBwTPG7KUV3it6O,Method_m8vwGkEZc3TSW2xqYUoR,732,3,6ae7d356ba998218af82,J40192,g7R2j
7,Class2,2024/1/2 23:34,Error1,0,Question_5fgqjSBwTPG7KUV3it6O,Method_m8vwGkEZc3TSW2xqYUoR,0,3,6ae7d356ba998218af82,J40192,g7R2j
8,Class2,2024/1/2 23:32,Absolutely_Correct,3,Question_EhVPdmlB31M8WKGqL0wc,Method_m8vwGkEZc3TSW2xqYUoR,324,2,6ae7d356ba998218af82,J40192,y9W5d
9,Class2,2024/1/2 23:29,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,332,3,6ae7d356ba998218af82,J40192,b3C9s
10,Class2,2024/1/2 23:28,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_m8vwGkEZc3TSW2xqYUoR,320,2,6ae7d356ba998218af82,J40192,b3C9s
11,Class2,2024/1/2 23:28,Absolutely_Correct,3,Question_bumGRTJ0c8p4v5D6eHZa,Method_BXr9AIsPQhwNvyGdZL57,324,3,6ae7d356ba998218af82,J40192,b3C9s
12,Class2,2024/1/2 23:27,Error5,0,Question_bumGRTJ0c8p4v5D6eHZa,Method_BXr9AIsPQhwNvyGdZL57,0,--,6ae7d356ba998218af82,J40192,b3C9s
13,Class2,2024/1/2 23:27,Absolutely_Correct,3,Question_xqlJkmRaP0otZcX4fK3W,Method_5Q4KoXthUuYz3bvrTDFm,320,2,6ae7d356ba998218af82,J40192,g7R2j
