index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID,sex,age,major,knowledge,sub_knowledge
0,Class4,2024/12/24 22:07,Error2,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_5Q4KoXthUuYz3bvrTDFm,332,3,d93519b044de1fa037b0,female,24,J87654,y9W5d,y9W5d_c0w4mj5h
1,Class4,2024/12/24 22:06,Error2,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_m8vwGkEZc3TSW2xqYUoR,200,4,d93519b044de1fa037b0,female,24,J87654,y9W5d,y9W5d_c0w4mj5h
2,Class4,2024/12/24 22:05,Error2,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_gj1NLb4Jn7URf9K2kQPd,200,4,d93519b044de1fa037b0,female,24,J87654,y9W5d,y9W5d_c0w4mj5h
3,Class4,2024/12/24 22:03,Absolutely_Correct,3,Question_xqlJkmRaP0otZcX4fK3W,Method_BXr9AIsPQhwNvyGdZL57,324,4,d93519b044de1fa037b0,female,24,J87654,g7R2j,g7R2j_e0v1yls8
4,Class4,2024/12/24 21:54,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_Cj9Ya2R7fZd6xs1q5mNQ,348,4,d93519b044de1fa037b0,female,24,J87654,b3C9s,b3C9s_l4z6od7y
5,Class4,2024/12/24 21:52,Absolutely_Correct,3,Question_X3wF8QlTyi4mZkDp9Kae,Method_m8vwGkEZc3TSW2xqYUoR,372,4,d93519b044de1fa037b0,female,24,J87654,g7R2j,g7R2j_e0v1yls8
6,Class4,2024/12/24 21:48,Absolutely_Correct,3,Question_62XbhBvJ8NUSnApgDL94,Method_Cj9Ya2R7fZd6xs1q5mNQ,356,5,d93519b044de1fa037b0,female,24,J87654,y9W5d,y9W5d_c0w4mj5h
7,Class4,2024/12/24 21:46,Absolutely_Correct,3,Question_oCjnFLbIs4Uxwek9rBpu,Method_5Q4KoXthUuYz3bvrTDFm,324,5,d93519b044de1fa037b0,female,24,J87654,g7R2j,g7R2j_e0v1yls8
7,Class4,2024/12/24 21:46,Absolutely_Correct,3,Question_oCjnFLbIs4Uxwek9rBpu,Method_5Q4KoXthUuYz3bvrTDFm,324,5,d93519b044de1fa037b0,female,24,J87654,m3D1v,m3D1v_r1d7fr3l
8,Class4,2024/12/24 21:45,Absolutely_Correct,3,Question_NixCn84GdK2tySa5rB1V,Method_Cj9Ya2R7fZd6xs1q5mNQ,332,4,d93519b044de1fa037b0,female,24,J87654,m3D1v,m3D1v_r1d7fr3l
9,Class4,2024/12/24 21:41,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,332,6,d93519b044de1fa037b0,female,24,J87654,b3C9s,b3C9s_j0v1yls8
10,Class4,2024/12/24 21:38,Absolutely_Correct,3,Question_bumGRTJ0c8p4v5D6eHZa,Method_5Q4KoXthUuYz3bvrTDFm,364,5,d93519b044de1fa037b0,female,24,J87654,b3C9s,b3C9s_l4z6od7y
11,Class4,2024/12/24 21:34,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_m8vwGkEZc3TSW2xqYUoR,328,4,d93519b044de1fa037b0,female,24,J87654,g7R2j,g7R2j_j1g8gd3v
12,Class4,2024/12/24 21:32,Absolutely_Correct,3,Question_5fgqjSBwTPG7KUV3it6O,Method_BXr9AIsPQhwNvyGdZL57,348,4,d93519b044de1fa037b0,female,24,J87654,g7R2j,g7R2j_e0v1yls8
13,Class4,2024/12/24 21:28,Absolutely_Correct,3,Question_TmKaGvfNoXYq4FZ2JrBu,Method_BXr9AIsPQhwNvyGdZL57,364,5,d93519b044de1fa037b0,female,24,J87654,m3D1v,m3D1v_r1d7fr3l
